Subject, sex, Block, Trial, LocationName, LocationX, LocationY, LocationZ, ResponseX, ResponseY, ResponseZ, SpatialError, GoalTime, ResponseTime, TemporalError
Demo_Cris1, Male, Spatial, 1, front_l_mid_mid, -1.78, 2.48, -2.86, -1.78, 3.652057, -3.946753, 1.598359, , , 
Demo_Cris1, Male, Spatial, 2, far_l_bottom_mid, -51.33, 1.16, -5.31, -51.33, 0.9374428, -5.659613, 0.4144407, , , 
Demo_Cris1, Male, Spatial, 3, mid_r_mid, -27.05, 2.69, 5.94, -27.05, 3.762252, 5.36916, 1.214736, , , 
Demo_Cris1, Male, Spatial, 4, far_r_midmid_bottom, -51.33, 0.086, 4.55, -51.33001, 0.386502, 3.876583, 0.737423, , , 
Demo_Cris1, Male, Spatial, 5, front_l_midmid_top, -1.78, 4.48, -4.11, -1.78, 5.445125, -5.429289, 1.634622, , , 
Demo_Cris1, Male, Spatial, 6, mid_l_midmid_bottom, -27.05, 0.086, -4.11, -27.05, 0.1661146, -5.068648, 0.96199, , , 
Demo_Cris1, Male, Temporal, 1, far_r_bottom_mid, -51.33, 1.16, 5.94, , , , ,8.25, 2.592407, -5.657593
Demo_Cris1, Male, Temporal, 2, front_r_mid_bottom, -1.78, 0.086, 3.09, , , , ,1.73, 3.12822, 1.39822
Demo_Cris1, Male, Temporal, 3, mid_l_mid, -27.05, 2.69, -5.4, , , , ,4.97, 3.95694, -1.01306
Demo_Cris1, Male, Temporal, 4, far_r_mid_top, -51.33, 4.48, 3.09, , , , ,8.25, 3.206055, -5.043945
Demo_Cris1, Male, Temporal, 5, mid_r_bottom_mid, -27.05, 1.16, 5.94, , , , ,4.97, 3.317535, -1.652464
Demo_Cris1, Male, Temporal, 6, front_l_mid_top, -1.78, 4.48, -2.86, , , , ,1.73, 2.727112, 0.9971118
Demo_Cris1, Male, Spatial, 1, mid_r_mid, -27.05, 2.69, 5.94, -27.05, 3.030998, 6.000235, 0.3462774, , , 
Demo_Cris1, Male, Spatial, 2, front_r_bottom_mid, -1.78, 1.16, 5.94, -1.780002, -0.1344252, 6.641361, 1.472224, , , 
Demo_Cris1, Male, Spatial, 3, far_l_bottom_mid, -51.33, 1.16, -5.31, -51.33, -0.5450792, -7.58288, 2.841351, , , 
Demo_Cris1, Male, Spatial, 4, front_r_mid, -1.78, 2.25, 5.94, -1.780002, 1.237924, 6.741533, 1.291028, , , 
Demo_Cris1, Male, Spatial, 5, far_l_mid_mid, -51.33, 3.02, -2.86, -51.33, 6.276506, -6.200532, 4.665189, , , 
Demo_Cris1, Male, Spatial, 6, mid_l_top, -27.05, 4.48, -5.4, -27.05, 6.88758, -7.913502, 3.480536, , , 
Demo_Cris1, Male, Temporal, 1, front_r_top_mid, -1.78, 3.36, 5.94, , , , ,1.73, 3.742004, 2.012004
Demo_Cris1, Male, Temporal, 2, mid_l_midmid_top, -27.05, 4.48, -4.11, , , , ,4.97, 4.290192, -0.6798081
Demo_Cris1, Male, Temporal, 3, front_l_bottom_mid, -1.78, 1.16, -5.31, , , , ,1.73, 0.9891968, -0.7408032
Demo_Cris1, Male, Temporal, 4, far_r_bottom_mid, -51.33, 1.16, 5.94, , , , ,8.25, 1.600281, -6.649719
Demo_Cris1, Male, Temporal, 5, mid_r_mid, -27.05, 2.69, 5.94, , , , ,4.97, 3.466003, -1.503996
Demo_Cris1, Male, Temporal, 6, far_l_midmid_top, -51.33, 4.48, -4.11, , , , ,8.25, 3.715027, -4.534973
Demo_Cris1, Male, Spatial, 1, front_l_top_mid, -1.78, 3.36, -5.31, -1.78, 4.223031, -8.364309, 3.173898, , , 
Demo_Cris1, Male, Spatial, 2, far_l_midmid_bottom, -51.33, 0.086, -4.11, -51.33, -0.5450792, -6.821587, 2.784055, , , 
Demo_Cris1, Male, Spatial, 3, front_r_bottom_mid, -1.78, 1.16, 5.94, -1.780002, 0.9574407, 7.683143, 1.754873, , , 
Demo_Cris1, Male, Spatial, 4, mid_r_midmid_bottom, -27.05, 0.086, 4.55, -27.05, 0.4265594, 3.515998, 1.088642, , , 
Demo_Cris1, Male, Spatial, 5, mid_l_top, -27.05, 4.48, -5.4, -27.05, 5.935955, -6.180546, 1.651986, , , 
Demo_Cris1, Male, Spatial, 6, far_r_mid_top, -51.33, 4.48, 3.09, -51.33001, 6.256471, 3.976753, 1.985492, , , 
Demo_Cris1, Male, Temporal, 1, far_l_mid_top, -51.33, 4.48, -2.86, , , , ,8.25, 3.43927, -4.81073
Demo_Cris1, Male, Temporal, 2, front_l_mid, -1.78, 2.48, -5.31, , , , ,1.73, 2.840515, 1.110515
Demo_Cris1, Male, Temporal, 3, far_r_top_mid, -51.33, 3.36, 5.94, , , , ,8.25, 4.609802, -3.640198
Demo_Cris1, Male, Temporal, 4, front_l_midmid_bottom, -1.78, 0.086, -4.11, , , , ,1.73, 1.441833, -0.2881665
Demo_Cris1, Male, Temporal, 5, front_r_bottom, -1.78, 0.086, 5.94, , , , ,1.73, 1.416992, -0.3130078
Demo_Cris1, Male, Temporal, 6, front_r_mid_bottom, -1.78, 0.086, 3.09, , , , ,1.73, 1.498718, -0.2312818
Demo_Cris1, Male, Spatial, 1, far_l_mid_bottom, -51.33, 0.086, -2.86, -51.33, 0.1561141, -4.617844, 1.759241, , , 
Demo_Cris1, Male, Spatial, 2, far_r_midmid_top, -51.33, 4.48, 4.55, -51.33001, 5.364962, 3.756379, 1.188693, , , 
Demo_Cris1, Male, Spatial, 3, front_l_top, -1.78, 4.48, -5.31, -1.78, 4.874151, -7.783316, 2.504525, , , 
Demo_Cris1, Male, Spatial, 4, front_r_mid_bottom, -1.78, 0.086, 3.09, -1.780001, 0.5567588, 2.634506, 0.6550485, , , 
Demo_Cris1, Male, Spatial, 5, mid_l_bottom_mid, -27.05, 1.16, -5.31, -27.05, 0.01586103, -6.060341, 1.368234, , , 
Demo_Cris1, Male, Spatial, 6, mid_r_bottom, -27.05, 0.086, 5.94, -27.05, -0.4749851, 8.324203, 2.449311, , , 
Demo_Cris1, Male, Temporal, 1, far_r_midmid_top, -51.33, 4.48, 4.55, , , , ,8.25, 2.960205, -5.289795
Demo_Cris1, Male, Temporal, 2, front_l_bottom_mid, -1.78, 1.16, -5.31, , , , ,1.73, 1.482727, -0.247273
Demo_Cris1, Male, Temporal, 3, far_l_top_mid, -51.33, 3.36, -5.31, , , , ,8.25, 3.172302, -5.077698
Demo_Cris1, Male, Temporal, 4, mid_r_midmid_bottom, -27.05, 0.086, 4.55, , , , ,4.97, 3.407227, -1.562773
Demo_Cris1, Male, Temporal, 5, front_l_mid_bottom, -1.78, 0.086, -2.86, , , , ,1.73, 1.670166, -0.059834
Demo_Cris1, Male, Temporal, 6, far_l_top, -51.33, 4.48, -5.417, , , , ,8.25, 5.374023, -2.875977
Demo_Cris1, Male, Spatial, 1, far_r_mid_mid, -51.33, 3.02, 3.09, -51.33, 2.680397, 2.694575, 0.5212404, , , 
Demo_Cris1, Male, Spatial, 2, mid_r_bottom_mid, -27.05, 1.16, 5.94, -27.05, 1.267993, 7.05203, 1.117262, , , 
Demo_Cris1, Male, Spatial, 3, front_l_mid_top, -1.78, 4.48, -2.86, -1.78, 5.595379, -5.068672, 2.474329, , , 
Demo_Cris1, Male, Spatial, 4, mid_r_mid, -27.05, 2.69, 5.94, -27.05, 3.000954, 4.958458, 1.029619, , , 
Demo_Cris1, Male, Spatial, 5, front_l_bottom_mid, -1.78, 1.16, -5.31, -1.78, 0.9374148, -6.551208, 1.261009, , , 
Demo_Cris1, Male, Spatial, 6, far_r_top_mid, -51.33, 3.36, 5.94, -51.33001, 1.939141, 4.347383, 2.134308, , , 
Demo_Cris1, Male, Temporal, 1, mid_r_mid_top, -27.05, 4.48, 3.09, , , , ,4.97, 4.44104, -0.5289598
