Subject, sex, Trial, Item1, LocationX1, LocationY1, LocationZ1, ResponseX1, ResponseY1, ResponseZ1, SpatialError1, GoalTime1, ResponseTime1, TemporalError1, Item2, LocationX2, LocationY2, LocationZ2, ResponseX2, ResponseY2, ResponseZ2, SpatialError2, GoalTime2, ResponseTime2, TemporalError2, Item3, LocationX3, LocationY3, LocationZ3, ResponseX3, ResponseY3, ResponseZ3, SpatialError3, GoalTime3, ResponseTime3, TemporalError3
pilot12, Male, 1, Ball_01, -51, 3.02, -2.86, -51, 3.461765, 2.663012, 5.540651, 8.25, 3.3280748, -4.9219252, Car_03, -27.05, 4.48, 4.55, -27.05, 1.382083, 3.195596, 3.38105, 4.97, 2.3684314, -2.6015686, Abacus_01, -1.78, 0.086, 4.55, -1.780002, 3.195449, 5.427457, 3.230883, 1.73, 1.8561669, 0.1261669
pilot12, Male, 2, Doll_01, -27.05, 0.086, -5.4, -27.05, 4.907383, -6.074172, 4.868289, 4.97, 2.5278875, -2.4421125, Bee_01, -1.78, 3.36, -5.31, -1.78, 3.80413, -4.958262, 0.5665429, 1.73, 2.6055263, 0.8755263, Boat_01, -51, 3.02, 3.09, -51, 4.501614, 4.856827, 2.305831, 8.25, 3.0881504, -5.1618496
pilot12, Male, 3, Boomerang_01, -51, 3.02, 3.09, -51, 2.827712, 1.940193, 1.165774, 8.25, 4.3678582, -3.8821418, Car_02, -27.05, 1.16, 5.94, -27.05, 1.737154, 3.398491, 2.606218, 4.97, 3.1489358, -1.8210642, Basketball_01, -1.78, 2.48, -5.31, -1.78, 2.434583, -5.135796, 0.1800273, 1.73, 2.3683024, 0.6383024
pilot12, Male, 4, Bucket_01, -1.78, 0.086, 3.09, -1.780002, 1.267934, 3.233648, 1.190631, 1.73, 2.8452737, 1.1152737, Ball_02, -51, 4.48, 5.94, -51, 3.233507, 2.713737, 3.458688, 8.25, 3.9670765, -4.2829235, Bunny_01, -27.05, 0.086, -2.86, -27.05, 3.106697, -5.224549, 3.836105, 4.97, 2.974178, -1.995822
pilot12, Male, 5, Darts_01, -27.05, 3.36, 5.94, -27.05, 3.068651, 3.487258, 2.469985, 4.97, 3.3581062, -1.6118938, Dinosaur_01, -51, 4.48, -5.417, -51, 4.590382, -3.740901, 1.67973, 8.25, 2.6709932, -5.5790068, Car_04, -1.78, 4.48, -2.86, -1.78, 3.182764, -6.11223, 3.501403, 1.73, 1.9991125, 0.2691125
pilot12, Male, 6, DumpTruck_01, -27.05, 4.48, 5.94, -27.05, 3.918272, 3.132192, 2.863446, 4.97, 2.8623052, -2.1076948, Fish_01, -51, 1.16, -5.31, -51, 1.71179, -2.016282, 3.339618, 8.25, 5.7760319, -2.4739681, Doll_03, -1.78, 1.16, 5.94, -1.780002, 2.041475, 4.970941, 1.30999, 1.73, 2.0784118, 0.3484118
pilot12, Male, 7, Horse_01, -51, 3.36, 5.94, -51, 0.3041931, -4.045245, 10.44237, 8.25, 2.2068129, -6.0431871, Doll_02, -27.05, 1.16, 5.94, -27.05, 1.572304, 4.793394, 1.218482, 4.97, 2.2397069, -2.7302931, Helicopter_01, -1.78, 0.086, -5.36, -1.78, 4.958104, -3.804293, 5.114452, 1.73, 3.5044762, 1.7744762
pilot12, Male, 8, Kite_01, -27.05, 4.48, 3.09, -27.05, 4.526961, 3.753556, 0.6652163, 4.97, 3.0550072, -1.9149928, Car_01, -1.78, 2.48, -5.31, -1.78, 2.650166, -4.818771, 0.5198671, 1.73, 2.7493006, 1.0193006, Plane_01, -51, 0.086, 5.94, -51, 1.584975, 1.864109, 4.342789, 8.25, 3.64874, -4.60126
pilot12, Male, 9, Robot_01, -1.78, 4.48, -2.86, -1.78, 4.958104, -3.525312, 0.8192826, 1.73, 2.1748784, 0.4448784, Shield_02, -27.05, 4.48, 4.55, -27.05, 5.60484, 6.150256, 1.956038, 4.97, 1.9654742, -3.0045258, Rocket_01, -51, 0.086, 5.94, -51, 1.699104, 1.483678, 4.739294, 8.25, 4.126297, -4.123703
pilot12, Male, 10, RollerSkate_01, -1.78, 1.16, 5.94, -1.780002, 1.077722, 3.956464, 1.985242, 1.73, 2.0808491, 0.3508491, Watergun_01, -27.05, 2.69, -5.4, -27.05, 3.423722, -2.193804, 3.289079, 4.97, 3.2493431, -1.7206569, RubberDuck_01, -51, 4.48, -2.86, -51, 0.2788322, -4.412994, 4.479018, 8.25, 1.9963962, -6.2536038
