Subject, sex, Block, Trial, LocationName, LocationX, LocationY, LocationZ, ResponseX, ResponseY, ResponseZ, SpatialError, GoalTime, ResponseTime, TemporalError
pilot12, Male, Spatial, 1, far_l_bottom_mid, -51, 1.16, -5.31, -51, 2.954526, -3.715538, 2.400548, , , 
pilot12, Male, Spatial, 2, mid_r_mid, -27.05, 2.69, 5.94, -27.05, 2.536054, 2.43474, 3.508639, , , 
pilot12, Male, Spatial, 3, front_l_mid_mid, -1.78, 2.48, -2.86, -1.78, 3.246171, -5.300648, 2.558081, , , 
pilot12, Male, Spatial, 4, front_l_midmid_top, -1.78, 4.48, -4.11, -1.78, 0.3549029, -6.315127, 4.677501, , , 
pilot12, Male, Spatial, 5, mid_l_midmid_bottom, -27.05, 0.086, -4.11, -27.05, 0.684636, -4.57782, 0.7597504, , , 
pilot12, Male, Spatial, 6, far_r_midmid_bottom, -51, 0.086, 4.55, -51, 0.9255611, 3.449234, 1.384395, , , 
pilot12, Male, Temporal, 1, mid_l_mid, -27.05, 2.69, -5.4, , , , ,4.97, 1.9047871, -3.0652129
pilot12, Male, Temporal, 2, front_r_mid_bottom, -1.78, 0.086, 3.09, , , , ,1.73, 1.8388668, 0.1088668
pilot12, Male, Temporal, 3, far_r_bottom_mid, -51, 1.16, 5.94, , , , ,8.25, 4.205966, -4.044034
pilot12, Male, Temporal, 4, far_r_mid_top, -51, 4.48, 3.09, , , , ,8.25, 4.3503127, -3.8996873
pilot12, Male, Temporal, 5, mid_r_bottom_mid, -27.05, 1.16, 5.94, , , , ,4.97, 2.8788817, -2.0911183
pilot12, Male, Temporal, 6, front_l_mid_top, -1.78, 4.48, -2.86, , , , ,1.73, 1.8558509, 0.1258509
pilot12, Male, Spatial, 1, front_r_bottom_mid, -1.78, 1.16, 5.94, -1.78, 0.8748254, -4.818771, 10.76255, , , 
pilot12, Male, Spatial, 2, mid_r_mid, -27.05, 2.69, 5.94, -27.05, 2.320472, 3.233639, 2.731472, , , 
pilot12, Male, Spatial, 3, far_l_bottom_mid, -51, 1.16, -5.31, -51, 2.396565, -6.226379, 1.539105, , , 
pilot12, Male, Spatial, 4, far_l_mid_mid, -51, 3.02, -2.86, -51, 3.994375, -4.007202, 1.505151, , , 
pilot12, Male, Spatial, 5, front_r_mid, -1.78, 2.25, 5.94, -1.780002, 1.8893, 4.197402, 1.779537, , , 
pilot12, Male, Spatial, 6, mid_l_top, -27.05, 4.48, -5.4, -27.05, 6.708078, -8.179208, 3.562068, , , 
pilot12, Male, Temporal, 1, front_l_bottom_mid, -1.78, 1.16, -5.31, , , , ,1.73, 2.3856467, 0.6556467
pilot12, Male, Temporal, 2, mid_l_midmid_top, -27.05, 4.48, -4.11, , , , ,4.97, 3.4402424, -1.5297576
pilot12, Male, Temporal, 3, front_r_top_mid, -1.78, 3.36, 5.94, , , , ,1.73, 1.6634922, -0.0665078000000001
pilot12, Male, Temporal, 4, far_l_midmid_top, -51, 4.48, -4.11, , , , ,8.25, 3.1510387, -5.0989613
pilot12, Male, Temporal, 5, mid_r_mid, -27.05, 2.69, 5.94, , , , ,4.97, 2.2087556, -2.7612444
pilot12, Male, Temporal, 6, far_r_bottom_mid, -51, 1.16, 5.94, , , , ,8.25, 2.1111454, -6.1388546
pilot12, Male, Spatial, 1, far_l_midmid_bottom, -51, 0.086, -4.11, -51, 1.255273, -2.320627, 2.137535, , , 
pilot12, Male, Spatial, 2, front_r_bottom_mid, -1.78, 1.16, 5.94, -1.780002, 1.318655, 4.007187, 1.939314, , , 
pilot12, Male, Spatial, 3, front_l_top_mid, -1.78, 3.36, -5.31, -1.78, 4.260645, -6.22636, 1.284865, , , 
pilot12, Male, Spatial, 4, mid_r_midmid_bottom, -27.05, 0.086, 4.55, -27.05, 2.599451, 5.13578, 2.580809, , , 
pilot12, Male, Spatial, 5, far_r_mid_top, -51, 4.48, 3.09, -51, 4.856677, 3.487278, 0.5474631, , , 
pilot12, Male, Spatial, 6, mid_l_top, -27.05, 4.48, -5.4, -27.05, 4.526961, -5.50353, 0.1136825, , , 
pilot12, Male, Temporal, 1, far_r_top_mid, -51, 3.36, 5.94, , , , ,8.25, 2.1426359, -6.1073641
pilot12, Male, Temporal, 2, front_l_mid, -1.78, 2.48, -5.31, , , , ,1.73, 1.7758626, 0.0458626
pilot12, Male, Temporal, 3, far_l_mid_top, -51, 4.48, -2.86, , , , ,8.25, 5.7735973, -2.4764027
pilot12, Male, Temporal, 4, front_r_mid_bottom, -1.78, 0.086, 3.09, , , , ,1.73, 2.3057128, 0.5757128
pilot12, Male, Temporal, 5, front_l_midmid_bottom, -1.78, 0.086, -4.11, , , , ,1.73, 3.1020616, 1.3720616
pilot12, Male, Temporal, 6, front_r_bottom, -1.78, 0.086, 5.94, , , , ,1.73, 2.5742061, 0.8442061
pilot12, Male, Spatial, 1, far_l_mid_bottom, -51, 0.086, -2.86, -51, 1.166505, -2.992721, 1.088626, , , 
pilot12, Male, Spatial, 2, far_r_midmid_top, -51, 4.48, 4.55, -51, 3.98169, 2.929313, 1.695564, , , 
pilot12, Male, Spatial, 3, front_l_top, -1.78, 4.48, -5.31, -1.78, 5.363888, -5.883973, 1.053899, , , 
pilot12, Male, Spatial, 4, mid_r_bottom, -27.05, 0.086, 5.94, -27.05, 1.762515, 3.753556, 2.75522, , , 
pilot12, Male, Spatial, 5, front_r_mid_bottom, -1.78, 0.086, 3.09, -1.78, 4.10847, -3.220969, 7.483889, , , 
pilot12, Male, Spatial, 6, mid_l_bottom_mid, -27.05, 1.16, -5.31, -27.05, 3.918272, -3.715517, 3.185976, , , 
pilot12, Male, Temporal, 1, front_l_bottom_mid, -1.78, 1.16, -5.31, , , , ,1.73, 2.0150804, 0.2850804
pilot12, Male, Temporal, 2, far_l_top_mid, -51, 3.36, -5.31, , , , ,8.25, 2.8803139, -5.3696861
pilot12, Male, Temporal, 3, far_r_midmid_top, -51, 4.48, 4.55, , , , ,8.25, 3.2315067, -5.0184933
pilot12, Male, Temporal, 4, mid_r_midmid_bottom, -27.05, 0.086, 4.55, , , , ,4.97, 2.3017635, -2.6682365
