Subject, sex, Block, Trial, LocationName, LocationX, LocationY, LocationZ, ResponseX, ResponseY, ResponseZ, SpatialError, GoalTime, ResponseTime, TemporalError
pilot10, Male, Spatial, 1, mid_r_mid, -27.05, 2.69, 5.94, -27.05, 1.661062, 4.095943, 2.111696, , , 
pilot10, Male, Spatial, 2, front_l_mid_mid, -1.78, 2.48, -2.86, -1.78, 1.724449, -4.780729, 2.06399, , , 
pilot10, Male, Spatial, 3, far_l_bottom_mid, -51, 1.16, -5.31, -51, 1.635697, -3.588728, 1.785795, , , 
pilot10, Male, Spatial, 4, mid_l_midmid_bottom, -27.05, 0.086, -4.11, -27.05, 0.06327176, -4.590502, 0.4810394, , , 
pilot10, Male, Spatial, 5, front_l_midmid_top, -1.78, 4.48, -4.11, -1.78, 4.945418, -4.882176, 0.9015933, , , 
pilot10, Male, Spatial, 6, far_r_midmid_bottom, -51, 0.086, 4.55, -51, -0.2537677, 6.175653, 1.66078, , , 
pilot10, Male, Temporal, 1, front_r_mid_bottom, -1.78, 0.086, 3.09, , , , ,1.73, 4.6082429, 2.8782429
pilot10, Male, Temporal, 2, mid_l_mid, -27.05, 2.69, -5.4, , , , ,4.97, 3.3269103, -1.6430897
pilot10, Male, Temporal, 3, far_r_bottom_mid, -51, 1.16, 5.94, , , , ,8.25, 4.2894703, -3.9605297
pilot10, Male, Temporal, 4, mid_r_bottom_mid, -27.05, 1.16, 5.94, , , , ,4.97, 1.1055385, -3.8644615
pilot10, Male, Temporal, 5, far_r_mid_top, -51, 4.48, 3.09, , , , ,8.25, 2.1412898, -6.1087102
pilot10, Male, Temporal, 6, front_l_mid_top, -1.78, 4.48, -2.86, , , , ,1.73, 2.2391297, 0.5091297
pilot10, Male, Spatial, 1, far_l_bottom_mid, -51, 1.16, -5.31, -51, 2.016132, -6.188336, 1.226554, , , 
pilot10, Male, Spatial, 2, mid_r_mid, -27.05, 2.69, 5.94, -27.05, 3.766098, 7.367625, 1.787764, , , 
pilot10, Male, Spatial, 3, front_r_bottom_mid, -1.78, 1.16, 5.94, -1.780002, 0.9128716, 6.847726, 0.9407649, , , 
pilot10, Male, Spatial, 4, mid_l_top, -27.05, 4.48, -5.4, -27.05, 5.249769, 6.150256, 11.57588, , , 
pilot10, Male, Spatial, 5, far_l_mid_mid, -51, 3.02, -2.86, -51, 1.597661, -4.184736, 1.943701, , , 
pilot10, Male, Spatial, 6, front_r_mid, -1.78, 2.25, 5.94, -1.780002, 0.8114181, 5.440137, 1.522951, , , 
pilot10, Male, Temporal, 1, front_l_bottom_mid, -1.78, 1.16, -5.31, , , , ,1.73, 5.4561484, 3.7261484
pilot10, Male, Temporal, 2, mid_l_midmid_top, -27.05, 4.48, -4.11, , , , ,4.97, 2.5610553, -2.4089447
pilot10, Male, Temporal, 3, front_r_top_mid, -1.78, 3.36, 5.94, , , , ,1.73, 2.4787385, 0.7487385
pilot10, Male, Temporal, 4, far_r_bottom_mid, -51, 1.16, 5.94, , , , ,8.25, 2.9461706, -5.3038294
pilot10, Male, Temporal, 5, far_l_midmid_top, -51, 4.48, -4.11, , , , ,8.25, 2.0467737, -6.2032263
pilot10, Male, Temporal, 6, mid_r_mid, -27.05, 2.69, 5.94, , , , ,4.97, 3.4713114, -1.4986886
pilot10, Male, Spatial, 1, front_r_bottom_mid, -1.78, 1.16, 5.94, -1.78, 2.865738, -6.188316, 12.24768, , , 
pilot10, Male, Spatial, 2, front_l_top_mid, -1.78, 3.36, -5.31, -1.780002, 3.487104, 5.681077, 10.99181, , , 
pilot10, Male, Spatial, 3, far_l_midmid_bottom, -51, 0.086, -4.11, -51, 0.2281102, -4.197417, 0.1668442, , , 
pilot10, Male, Spatial, 4, mid_l_top, -27.05, 4.48, -5.4, -27.05, 6.378379, -3.347769, 2.795621, , , 
