Subject, sex, Block, Trial, LocationName, LocationX, LocationY, LocationZ, ResponseX, ResponseY, ResponseZ, SpatialError, GoalTime, ResponseTime, TemporalError
pilot14, Male, Spatial, 1, mid_r_mid, -27.05, 2.69, 5.94, -27.05, 3.088319, 2.992194, 2.974596, , , 
pilot14, Male, Spatial, 2, front_l_mid_mid, -1.78, 2.48, -2.86, -1.78, 3.115012, -4.889047, 2.126093, , , 
pilot14, Male, Spatial, 3, far_l_bottom_mid, -51, 1.16, -5.31, -51, 2.366979, -1.122081, 4.358379, , , 
pilot14, Male, Spatial, 4, front_l_midmid_top, -1.78, 4.48, -4.11, -1.78, 4.958422, -3.406303, 0.8509268, , , 
pilot14, Male, Spatial, 5, far_r_midmid_bottom, -51, 0.086, 4.55, -51, 1.391838, 2.471246, 2.454879, , , 
pilot14, Male, Spatial, 6, mid_l_midmid_bottom, -27.05, 0.086, -4.11, -27.05, 1.124686, -2.29758, 2.088956, , , 
pilot14, Male, Temporal, 1, mid_l_mid, -27.05, 2.69, -5.4, , , , ,4.97, 6.52661, 1.55661
pilot14, Male, Temporal, 2, front_r_mid_bottom, -1.78, 0.086, 3.09, , , , ,1.73, 3.5182664, 1.7882664
pilot14, Male, Temporal, 3, far_r_bottom_mid, -51, 1.16, 5.94, , , , ,8.25, 8.5735448, 0.323544799999999
pilot14, Male, Temporal, 4, front_l_mid_top, -1.78, 4.48, -2.86, , , , ,1.73, 5.10282, 3.37282
pilot14, Male, Temporal, 5, far_r_mid_top, -51, 4.48, 3.09, , , , ,8.25, 8.3673232, 0.1173232
pilot14, Male, Temporal, 6, mid_r_bottom_mid, -27.05, 1.16, 5.94, , , , ,4.97, 3.647513, -1.322487
pilot14, Male, Spatial, 1, far_l_bottom_mid, -51, 1.16, -5.31, -51, 1.458627, 0.9751398, 6.29223, , , 
pilot14, Male, Spatial, 2, mid_r_mid, -27.05, 2.69, 5.94, -27.05, 2.179971, 1.309084, 4.658917, , , 
pilot14, Male, Spatial, 3, front_r_bottom_mid, -1.78, 1.16, 5.94, -1.780001, 3.836345, -2.043783, 8.420428, , , 
pilot14, Male, Spatial, 4, mid_l_top, -27.05, 4.48, -5.4, -27.05, 3.582562, -2.310937, 3.216785, , , 
pilot14, Male, Spatial, 5, front_r_mid, -1.78, 2.25, 5.94, -1.780002, 2.44711, 4.047487, 1.90275, , , 
