Subject, sex, Trial, Item1, LocationX1, LocationY1, LocationZ1, ResponseX1, ResponseY1, ResponseZ1, SpatialError1, GoalTime1, ResponseTime1, TemporalError1, Item2, LocationX2, LocationY2, LocationZ2, ResponseX2, ResponseY2, ResponseZ2, SpatialError2, GoalTime2, ResponseTime2, TemporalError2, Item3, LocationX3, LocationY3, LocationZ3, ResponseX3, ResponseY3, ResponseZ3, SpatialError3, GoalTime3, ResponseTime3, TemporalError3
pilot7, Male, 1, Abacus_01, -1.78, 0.086, 4.55, -1.780002, 4.121156, 4.983622, 4.058388, 1.73, 3.4086212, 1.6786212, Car_03, -27.05, 4.48, 4.55, -27.05, 1.382083, 5.909317, 3.383021, 4.97, 3.7918223, -1.1781777, Ball_01, -51, 3.02, -2.86, -51, 3.385682, -6.099569, 3.260143, 8.25, 3.2449835, -5.0050165
pilot7, Male, 2, Doll_01, -27.05, 0.086, -5.4, -27.05, 4.564997, -5.51621, 4.480505, 4.97, 3.6952594, -1.2747406, Boat_01, -51, 3.02, 3.09, -51, 3.664662, 5.706456, 2.694704, 8.25, 4.5428038, -3.7071962, Bee_01, -1.78, 3.36, -5.31, -1.78, 3.195449, -6.378531, 1.081127, 1.73, 2.5755853, 0.8455853
pilot7, Male, 3, Boomerang_01, -51, 3.02, 3.09, -51, 3.72807, 5.554283, 2.563992, 8.25, 4.5258126, -3.7241874, Car_02, -27.05, 1.16, 5.94, -27.05, 1.584979, 6.530684, 0.7276778, 4.97, 2.8938014, -2.0761986, Basketball_01, -1.78, 2.48, -5.31, -1.78, 2.700888, -5.883973, 0.6150094, 1.73, 1.9973832, 0.2673832
pilot7, Male, 4, Ball_02, -51, 4.48, 5.94, -51, 4.81864, 4.704655, 1.28092, 8.25, 4.1916133, -4.0583867, Bunny_01, -27.05, 0.086, -2.86, -27.05, 0.2534826, -3.601388, 0.7600707, 4.97, 2.175922, -2.794078, Bucket_01, -1.78, 0.086, 3.09, -1.780002, 0.06324768, 4.019868, 0.9301463, 1.73, 1.4559752, -0.2740248
pilot7, Male, 5, Dinosaur_01, -51, 4.48, -5.417, -51, 5.300518, -4.780744, 1.038302, 8.25, 4.7198299, -3.5301701, Darts_01, -27.05, 3.36, 5.94, -27.05, 3.854865, 6.49264, 0.7418237, 4.97, 1.951989, -3.018011, Car_04, -1.78, 4.48, -2.86, -1.78, 2.257058, -5.402097, 3.376941, 1.73, 1.869044, 0.139044
pilot7, Male, 6, Doll_03, -1.78, 1.16, 5.94, -1.780002, 1.521552, 6.403892, 0.5881457, 1.73, 2.5919645, 0.8619645, Fish_01, -51, 1.16, -5.31, -51, 3.613941, -6.150294, 2.593823, 8.25, 3.3756367, -4.8743633, DumpTruck_01, -27.05, 4.48, 5.94, -27.05, 5.008837, 6.239022, 0.6075217, 4.97, 2.7838489, -2.1861511
pilot7, Male, 7, Horse_01, -51, 3.36, 5.94, -51, 4.438207, 6.581445, 1.254584, 8.25, 3.9994308, -4.2505692, Doll_02, -27.05, 1.16, 5.94, -27.05, 1.521572, 6.518004, 0.6817792, 4.97, 3.503278, -1.466722, Helicopter_01, -1.78, 0.086, -5.36, -1.78, 0.3041812, -5.047029, 0.3815154, 1.73, 1.727214, -0.00278599999999996
pilot7, Male, 8, Car_01, -1.78, 2.48, -5.31, -1.78, 2.358501, -6.505341, 1.2015, 1.73, 2.2397296, 0.5097296, Plane_01, -51, 0.086, 5.94, -51, 0.1520174, 6.162972, 0.2325403, 8.25, 4.8459987, -3.4040013, Kite_01, -27.05, 4.48, 3.09, -27.05, 5.199047, 5.110418, 2.144556, 4.97, 2.8297065, -2.1402935
pilot7, Male, 9, Robot_01, -1.78, 4.48, -2.86, -1.78, 4.450857, -5.072391, 2.212583, 1.73, 2.6724661, 0.9424661, Rocket_01, -51, 0.086, 5.94, -51, -0.07624102, 5.820584, 0.2014504, 8.25, 3.3101913, -4.9398087, Shield_02, -27.05, 4.48, 4.55, -27.05, 5.680923, 5.80787, 1.739095, 4.97, 5.644788, 0.674788
pilot7, Male, 10, Watergun_01, -27.05, 2.69, -5.4, -27.05, 2.498008, -7.012561, 1.62395, 4.97, 2.5422955, -2.4277045, RubberDuck_01, -51, 4.48, -2.86, -51, 5.604859, -3.563366, 1.326662, 8.25, 4.3196248, -3.9303752, RollerSkate_01, -1.78, 1.16, 5.94, -1.780002, 2.536037, 5.820567, 1.38121, 1.73, 1.4871474, -0.2428526
